letra,Freq. Relativa,Freq. Absoluta (fi),fi(fi-1)
a,"13,521919",1606619,2581223004542
e,"12,245263",1454932,2116825669692
o,"10,357461",1230631,1514451427530
s,"7,917737",940753,885015266256
r,"6,736380",800389,640621750932
i,"5,730630",680890,463610511210
d,"5,094293",605283,366366904806
n,"4,909343",583308,340247639556
m,"4,665041",554281,307226872680
u,"4,420385",525212,275847119732
t,"4,174096",495949,245964914652
c,"3,244465",385494,148605238542
l,"3,058572",363407,132064284242
p,"2,429868",288707,83351443142
v,"1,705386",202627,41057498502
h,"1,463600",173899,30240688302
q,"1,226368",145712,21231841232
g,"1,210764",143858,20694980306
b,"1,051560",124942,15610378422
f,"0,980315",116477,13566775052
ã,"0,758989",90180,8132342220
z,"0,466385",55414,3070655982
ç,"0,446531",53055,2814779970
á,"0,412470",49008,2401735056
é,"0,404592",48072,2310869112
j,"0,371861",44183,1952093306
x,"0,215266",25577,654157352
í,"0,168218",19987,399460182
ó,"0,165820",19702,388149102
ê,"0,124958",14847,220418562
à,"0,090552",10759,115745322
õ,"0,069965",8313,69097656
ú,"0,049943",5934,35206422
ô,"0,039986",4751,22567250
y,"0,027841",3308,10939556
â,"0,027311",3245,10526780
k,"0,005934",705,496320
w,"0,005142",611,372710
ü,"0,002853",339,114582
è,"0,001069",127,16002
ò,"0,000480",57,3192
ñ,"0,000168",20,380
ì,"0,000093",11,110
î,"0,000050",6,30
ù,"0,000042",5,20
û,"0,000034",4,12
